q_v,t_1,t_2,T_1,T_2
15.47,28.5,76.9,101.3,102.1
14.55,29,77.5,101.8,102.3
12.47,29.2,78.6,101.9,102.5
11.48,29.6,79.3,102.1,102.5
9.52,30.1,80.1,101.8,102.1
8.51,30.1,80.4,101.8,102.1
7.5,30,80.9,101.9,102.3
5.96,29.6,81.4,101.8,102
